timestamp,temperature,humidity,pm1_0,pm2_5,pm10,risk_label
2021-06-01,14.46,95,1.42,1.94,2.8,Green
2021-06-01,20.11,62,1.69,2.31,2.43,Green
2021-06-01,15.95,95,1.64,2.15,2.73,Green
2021-06-01,18.6,79,1.18,1.69,1.83,Green
2021-06-01,27.35,41,0.99,1.39,1.54,Green
2021-06-01,14.18,92,2.71,3.82,6.25,Yellow
2021-06-01,17.03,83,3.07,4.08,5.62,Green
2021-06-02,15.91,88,5.55,7.55,8.51,Green
2021-06-02,15.2,92,0.85,1.19,1.64,Green
2021-06-02,13.95,95,1.3,1.81,2.38,Green
2021-06-02,16.52,72,1.78,2.42,2.92,Green
2021-06-02,17.77,91,4.26,5.8,6.34,Green
2021-06-02,22.3,45,2.48,3.34,4.15,Green
2021-06-02,14.39,92,5.52,7.56,9.9,Green
2021-06-02,14.3,93,7.07,9.77,11.53,Green
2021-06-02,8.72000000000003,84,0.35,0.5,0.64,Green
2021-06-03,13.17,84,2.45,3.53,4.43,Green
2021-06-03,29.43,32,3.2,4.37,4.96,Green
2021-06-03,16.06,92,16.22,23.77,25.67,Yellow
2021-06-03,14.21,92,2.2,3.04,5.46,Green
2021-06-03,1.75,85,0.37,0.5,0.86,Green
2021-06-04,17.0700000000001,79,2.81,3.93,7.39,Yellow
2021-06-04,16.72,76,2.01,2.94,3.42,Green
2021-06-04,13.42,83,1.72,2.42,4.2,Green
2021-06-04,14.2,77,5.37,7.7,8.54,Green
2021-06-04,16.15,74,1.42,1.95,3.38,Green
2021-06-04,16.33,99,8.08,10.81,12.28,Yellow
2021-06-04,15.15,85,3.14,4.43,9.04,Green
2021-06-04,15.93,73,1.24,1.71,2.78,Green
2021-06-04,6.16000000000003,95,0.36,0.5,0.6,Green
2021-06-05,15.09,82,2.49,3.37,5.08,Green
2021-06-05,15.23,70,1.82,2.48,4.41,Green
2021-06-05,11.92,76,0.4,0.52,1.36,Green
2021-06-05,15.24,76,2.22,3.33,4.91,Green
