timestamp,temperature,humidity,pm1_0,pm2_5,pm10,risk_label
2021-06-01 08:00:00,18.6,79,1.25,1.69,1.83,Green
2021-06-01 10:00:00,14.46,95,1.52,1.94,2.8,Green
2021-06-01 11:00:00,17.03,83,2.82,4.08,5.62,Green
2021-06-01 15:00:00,15.95,95,1.56,2.15,2.73,Green
2021-06-01 15:00:00,27.35,41,1.01,1.39,1.54,Green
2021-06-01 16:00:00,20.11,62,1.6,2.31,2.43,Green
2021-06-01 17:00:00,18.6,79,1.19,1.69,1.83,Green
2021-06-01 17:00:00,14.18,92,2.77,3.82,6.25,Yellow
2021-06-01 21:00:00,17.03,83,2.9,4.08,5.62,Green
2021-06-02 04:00:00,14.3,93,7.56,9.77,11.53,Green
2021-06-02 06:00:00,16.52,72,1.75,2.42,2.92,Green
2021-06-02 07:00:00,15.91,88,5.55,7.55,8.51,Green
2021-06-02 08:00:00,8.72,84,0.36,0.5,0.64,Green
2021-06-02 09:00:00,15.2,92,0.86,1.19,1.64,Green
2021-06-02 09:00:00,22.3,45,2.48,3.34,4.15,Green
2021-06-02 11:00:00,13.95,95,1.32,1.81,2.38,Green
2021-06-02 13:00:00,17.77,91,4.38,5.8,6.34,Green
2021-06-02 13:00:00,14.39,92,5.29,7.56,9.9,Green
2021-06-02 15:00:00,15.91,88,5.4,7.55,8.51,Yellow
2021-06-02 17:00:00,8.72,84,0.36,0.5,0.64,Green
2021-06-02 18:00:00,16.52,72,1.93,2.42,2.92,Green
2021-06-02 21:00:00,14.3,93,7.22,9.77,11.53,Green
2021-06-02 22:00:00,15.2,92,0.83,1.19,1.64,Green
2021-06-02 22:00:00,13.95,95,1.25,1.81,2.38,Green
2021-06-03 06:00:00,14.21,92,2.14,3.04,5.46,Green
2021-06-03 07:00:00,16.06,92,17.71,23.77,25.67,Yellow
2021-06-03 08:00:00,13.17,84,2.61,3.53,4.43,Green
2021-06-03 14:00:00,29.43,32,3.13,4.37,4.96,Green
2021-06-03 17:00:00,1.75,85,0.35,0.5,0.86,Green
2021-06-03 21:00:00,13.17,84,2.37,3.53,4.43,Green
2021-06-03 21:00:00,14.21,92,2.24,3.04,5.46,Green
2021-06-04 06:00:00,16.33,99,7.57,10.81,12.28,Yellow
2021-06-04 06:00:00,6.16,95,0.36,0.5,0.6,Green
2021-06-04 08:00:00,13.42,83,1.74,2.42,4.2,Green
2021-06-04 08:00:00,15.15,85,3.38,4.43,9.04,Green
2021-06-04 10:00:00,16.72,76,2.17,2.94,3.42,Green
2021-06-04 12:00:00,16.15,74,1.55,1.95,3.38,Green
2021-06-04 13:00:00,17.07,79,2.91,3.93,7.39,Yellow
2021-06-04 15:00:00,15.93,73,1.25,1.71,2.78,Green
2021-06-04 17:00:00,16.72,76,1.94,2.94,3.42,Green
2021-06-04 18:00:00,14.2,77,5.52,7.7,8.54,Green
2021-06-04 20:00:00,15.15,85,3.31,4.43,9.04,Green
